,text,sentiment,numaric_presentatin_of_sentiment
0,same folks said daikon paste could treat a cytokine storm pfizerbiontech ,Positive,2
1,while the world has been on the wrong side of history this year hopefully the biggest vaccination effort weve ev… ,Negative,0
2,coronavirus sputnikv astrazeneca pfizerbiontech moderna  russian vaccine is created to last  years… ,Positive,2
3,facts are immutable senator even when youre not ethically sturdy enough to acknowledge them  you were born i… ,Neutral,1
4,explain to me again why we need a vaccine borisjohnson matthancock whereareallthesickpeople pfizerbiontech… ,Neutral,1
5,does anyone have any useful adviceguidance for whether the covid vaccine is safe whilst breastfeeding… ,Positive,2
6,it is a bit sad to claim the fame for success of vaccination on patriotic competition between usa canada uk and… ,Positive,2
7,there have not been many bright days in  but here are some of the best  bidenharris winning … ,Positive,2
8,covid vaccine you getting it covidvaccine  pfizerbiontech moderna,Neutral,1
9,covidvaccine states will start getting  monday us says pakustv nyc healthcare globalgoals… ,Neutral,1
10,while deaths are closing in on the  mark millions of people wait pfizerbiontech vaccine   the first u… ,Neutral,1
11,cnnbrk  covidvaccine vaccine corona pfizerbiontech bbcnews nytimes bbcnews best wishes to the us… ,Positive,2
12,the agency also released new information for health care providers and for patients as the us shipped millions of d… ,Positive,2
13,for all the women and healthcare providers who have been asking about the safety of the pfizerbiontech… ,Positive,2
14,expect  sites across all the states to receive vaccine on monday another  sites on tuesday said the offic… ,Neutral,1
15,trump announces vaccine rollout in less than  hours the first americans will be vaccinated against… ,Neutral,1
16,updated yellowfever amp  immunitypassports  part two  pfizerbiontech britain december… ,Neutral,1
17,coronavirus iran reports  new cases  deaths in the last  hours iran coronavirus pfizerbiontech… ,Neutral,1
18,pfizer will rake in billions from its expensive covidvaccine but albertbourla refuses to cut the price for lowe… ,Negative,0
19,the trump administration failed to deliver on vaccine promises shocker covidiots coronavirus covidvaccine… ,Negative,0
20,how much did the fda get paid to approve this all of a sudden now money makes the world go around vaccine… ,Neutral,1
21,anyone wondering why day after pfizerbiontech approval in the uk people were getting vaccinated but all we are tol… ,Positive,2
22,trump announces vaccine rollout in less than  hours the first americans will be vaccinated against… ,Neutral,1
23,the us food and drug administration fda has granted emergency use authorization to pfizerbiontechs mrna… ,Negative,0
24,presenting you the top medical newsadvancement of the past week you dont want to miss docnosofficial … ,Positive,2
25,no of  done thankyounhs nhsuk mhragovuk and pfizerbiontech pfizer for making the covidvaccine dream poss… ,Negative,0
26,wear a mask wash your hands and remain socially distant when possible stayhome stayathome stayathomesavelives… ,Neutral,1
27,⁦avgerinosmoscow⁩ pfizerbiontech fda approval apprentice style ⁦realdonaldtrump⁩ “approve the vaccine or you… ,Positive,2
28,interesting and very detailed article showing up how a well tested supplychain with sharedvisibility will help d… ,Positive,2
29, vaccine trumpvaccine astrazeneca pfizerbiontech pfizervaccine pfizercovidvaccine pfizers covid belong… ,Neutral,1
30,zubymusic  deaths so far its only death nothing to worry about then  covidvaccines pfizervaccine… ,Negative,0
31, nytimes please don’t spread fake news there is no evidence that these cases are linked to the… ,Negative,0
32,icymi the fda authorized the pfizerbiontech  vaccine for the united states last night ,Positive,2
33,all respect to due process but why not give approval now instead of the  of december surely multiple other cou… ,Positive,2
34,vaccine anyone covid pfizervaccine pfizerbiontech ,Neutral,1
35,an immigrant muslim couple find the covid vaccine covidvaccine pfizerbiontech pfizervaccine pfizerproud,Neutral,1
36,the fda finally issues eua now comes the problem transporting this pfizerbiontech vaccine needs to be kept at … ,Negative,0
37,ladies and gentlemen now we have covidvaccine experts in each and every household of pakistan pfizerbiontech oxfordvaccine ,Neutral,1
38,fact sheet for healthcare providers administering vaccine pfizerbiontech covidvaccine ,Neutral,1
39, sputnikvaccine astrazeneca check out table  of this and other tables too because it took the penny a w… ,Neutral,1
40, sputnikvaccine astrazeneca its the only one which doesnt have any side effects the pfizerbiontech a… ,Neutral,1
41,fact sheet for recipients and caregivers pfizerbiontech covidvaccine ,Neutral,1
42,covidvaccine pfizerbiontech covid pfizerbiontech  capetown ,Neutral,1
43,trump announces vaccine rollout in less than  hours the first americans will be vaccinated against… ,Neutral,1
44,fda authorizes pfizerbiontech coronavirus vaccine for emergency use ,Negative,0
45,when the covidvaccine poisons enough of the left with side effects like bellspalsy or  as they are flocking… ,Negative,0
46,realdonaldtrump dairy dose of dumbsville by donthecon grifterinchief trumpforprison trumpcrimefamily covid… ,Neutral,1
47,the us fda has approved two coronavirus vaccines pfizerbiontech amp moderna over  vaccines are being develo… ,Positive,2
48,as emanews gets set to approve pfizerbiontech vaccine rollout preparations pick up pace across eu meanwhile… ,Neutral,1
49,covid news and updates public questioned whether he actually received the shot video footage appeared to show… ,Negative,0
50,tragedy another life taken by corporate greed and the evil pharmaceutical companies vaccination vaccine… ,Negative,0
51,i’ve never been so excited to get a vaccine  covidvaccine pfizerbiontech vaccinessavelives vaccineswork ,Positive,2
52,building on last week’s ‘trial’ run and extending our vaccination  programme this week  so much effort going on b… ,Neutral,1
53,the first covid vaccine doses have arrived in oregon watch morningsonthedove from   tomorrow for det… ,Neutral,1
54,iran has told the world health organization it does not intend to import the pfizerbiontech covid vaccine bec… ,Neutral,1
55,concerned about the side effects of the pfizerbiontech  vaccine check out my recap  ,Neutral,1
56,such a great feeling a big thank you to all the healthcare professionals scientists nurses doctors caregivers… ,Positive,2
57,members of the teamsters delivered the first  this morning teamsters ups  pfizer… ,Neutral,1
58,getting my first dose of the pfizerbiontech covidvaccine next weekend and seeing this unboxing just made it so r… ,Neutral,1
59,will you be taking the covid vaccine once available to you  pfizer biontech vaccine pfizerbiontech… ,Neutral,1
60,farandwide erinotoole michellerempel that rempeltrudeau exchange had to be seen to be believed i saw it too… ,Neutral,1
61,pfizerbiontech new york state administered its first nontrial vaccine this morning to a health care worker the p… ,Positive,2
62,cphocanada pfizerbiontech  female sterilization  pfizer untested no liabilities crimesagainsthumanity ,Negative,0
63,cphocanada key crushcovid milestone achieved with shutting down amp coverup of pfizerbiontech untested no l… ,Negative,0
64,inbox  govparsonmo says shipments of the pfizerbiontech vaccine will continue to ship to missouri’s  vaccinat… ,Neutral,1
65,nygovcuomo cmargaronis pfizer ups  pfizerbiontech are germany based lets just hope the small numbers are… ,Positive,2
66,icu nurse sandra lindsay said she was very proud after becoming one of the first americans to receive the pfizer… ,Positive,2
67,farandwide erinotoole michellerempel  screenshot  of that qp exchange  unfortunately hansard does not c… ,Negative,0
68,meghanmccain as a physician currently with covid i cried vaccinessavelives pfizerbiontech,Negative,0
69,dwaincampbell unfortunately hansard does not capture all the aggro fingerpointing and deskthumping that werea… ,Negative,0
70,cdnadvocacy hallo the unroll you asked for cdnadvocacy  uk nhs mhra updated covidvaccine clinical guidel… ,Neutral,1
71,fordnation odd verb choice there doug you were on hand to observe  to welcome as anita anand put it  under… ,Positive,2
72,the first ontarian was vaccinated just minutes later a psw anita quidangen in toronto pfizerbiontech… ,Neutral,1
73,pattyhajdu would you take the vaccine listen to the expert  pfizerbiontech  untested… ,Neutral,1
74,over the weekend the faa issued guidance for pilots following use of the new pfizerbiontech vaccine for… ,Neutral,1
75,ugursahin ozlemtureci the muslim scientists husbandwife are saving the world with their pfizerbiontech… ,Neutral,1
76,surprised to learn those with autoimmune conditions or otherwise immunosuppressed are advised not to receive the… ,Positive,2
